public_identifier;num_accomplishment_publications;name;publisher;published_on;description;url
fcondemi;3;04;ISMRM Workshop on Quantitative MR Flow: Innovation & Implementation for Clinical & Physiological Insights;01-10-2016;null;null
fcondemi;4;;AATS Annual Meeting;01-05-2016;null;null
fcondemi;5;;Biocybernetics and Biomedical Engineering;01-04-2016;null;http://10.1016/j.bbe.2016.04.002
fcondemi;6;;XLII ANNUAL ESAO CONFERENCE;01-09-2015;null;null
fcondemi;7;;The International Workshop on Innovative Simulation for Healthcare (I-WISH);01-09-2015;This study regards a computational fluid dynamics (CFD) model and a fluid structure interaction (FSI) model to describe the \u201cFunctional Entrapment Syndrome of Popliteal Artery\u201d (PAES). A stack of 127 slices, were acquired from RM of the right knee. The segmentation of the region of interest was performed on 3D Slicer, using the Single Region Growing. The final geometry was created in Comsol Multiphysics through the measure obtained by segmentation. To optimize the model\u2019s elaboration, we performed only the region of interest: the flow, the artery walls and the muscles soleus, medial gastrocnemius, plantaris and popliteus. CFD and FSI were performed using the commercial software Comsol Multiphysics 5.0 (COMSOL, Inc., Stockholm, Sweden). In CFD section, in agreement with the experimental data, the popliteal blood velocity varied from 30[cm/s] to 70 [cm/s]. In FSI phase, the entrapment due to the gastrocnemius muscle caused a maximum displacement of the popliteal artery walls of 0.16 [mm]. When the entrapment is due to soleus muscle, the maximum displacement of the artery is about 0.3947 [mm]. The most important observation is the variation of contact pressure in two cases of entrapment. In fact, when the occlusion is due to soleus muscle, the pressure is higher than the precedent case. The CFD model and the FSI model resulted in a detailed description of fluid dynamic and fluid-structure interactions useful to evaluate the pathology\u2019s features, independently, from the obstacles of in vivo analysis. These models can define the sites more solicited where there is the most probability to have an aneurysm.;null
fcondemi;8;;1st Annual Postdoctoral Research Symposium, University of Kentucky;01-06-2015;null;null
fcondemi;9;;61th Annual Conference of ASAIO;01-01-2015;We are developing a new paired membrane umbrella double lumen cannula (DLC) to support failing Fontan patients. The objectives of this computational fluid dynamics (CFD) study were to evaluate the performance/flow pattern and the potential for blood thrombosis of the paired umbrella DLC.The paired umbrella DLC is inserted from the right jugular vein and superior vena cava (SVC) into the total cavopulmonary connection (TCPC). Blood is withdrawn from the SVC and the inferior vena cava (IVC) through the drainage lumen and reinfused into the pulmonary artery (PA)via the infusion lumen. A realistic 3D geometry of the paired umbrella DLC and an idealized 3D geometry of the TCPC were constructed. The two paired membrane umbrellas were positioned at a distance of 8\u2009cm from each other, and the infusion outlet was designed 4\u2009cm above the PAanastomosis . CFD was performed at 2\u20135 l/min flow rates. The laminar flow model was used for Reynolds number (Re) less than 4000. The shear-stress transport (SST) k-\u03c9 turbulent model was implemented for Re greater than 4000. Blood was assumed to be a Newtonian fluid. The finitevolume method was used for governing equations discretization.This CFD study predicted that our paired membrane umbrella DLC can perfuse both the right and left PA, eliminating the strict alignment requirement and guaranteeing adequate performance. However, blood stagnancy, which may increase thrombosis risk, was found close to the two paired membrane umbrellas for all flow rates (2\u20135 l/min). The stagnant blood flow volume (for a velocity <1\u2009mm/s) decreased from 1.48 mm^3 at 2 l/min to 0.04 mm^3 at 5 l/min.The paired membrane umbrella DLC perfused both the right and left PA, ensuring adequate performance. Although blood stagnancy was found, the volume was very small (<1 mm3). Long-term studies will be necessary to determine thrombosis risk.;null
fcondemi;10;;61th Annual Conference of ASAIO;01-01-2015;We are developing a new prototype of blood oxygenator for treating acute or chronic lung failure and, as well as, combined right heart and lung (RVAD) failure. This new device is a compact one piece pump integrated gas exchanger device (PIGED). The PIGED integrated pump reduces the blood circuit for an ambulatory paracorporeal artificial lung.However, an even blood flow pattern is essential for least thrombogenesis and best gas exchange performance.Computational fluid dynamics (CFD) was used for PIGED design to achieve even blood flow pattern.  The optimized PIGED design and pneumatic driver were tested for pump and gas exchange performance in a bovine blood simulation circuit.;null
fcondemi;11;;8th World Congress for NeuroRehabilitation, Istanbul;01-03-2014;In  our  kinematic  analysis  laboratory  we  have  developed  a  protocol  for  angles  measurement  of  the  humerus  and the  scapula  rotation  during  the  abduction,  flexion,  adduction  movements and  the  internal  and  external  rotation, with an optoelectronic system. This  protocol  has  been  tested  on 10 patients  with  neurological  diseases,  such  as Multiple  Sclerosis,  Hemiparesis, Myelodislastic Sindrome, Parkinson, Limb-Girdle Muscular Dystrophy(LGMD), Atassis Sindrome, Chrcot Marie Tooth.The aim of this work is to establish a range of angles values for each movement and analysed pathology, trying to determine for which movement there are the most relevant restrictions in the different pathologies. For the movement analysis we have used an optoelectronic digital system(BTS SMART-DX). These devices allow clinician to  record  movements  performed  by  their  patients  so  that  they can  remotely  study  the results. These systems  basically  consist  of two of  infrared  cameras  directly  connected  to  an  integration  box  that  contains appropriate  software  for  data  capture,  3D  reconstruction,  motion  analysis  and  visualization  of  movements.Although the use of a two cameras system is exposed to a greater risk of error for its processing ease and its cost,it makes these measures easily repeatable in more or less advanced contexts.The protocol used 6 markers positioned on the subject\u2019s shoulder  in order to analyze the articular movement. A \u2018normal\u2019 class of 30 healthy subjects for protocol validation and for a comparative analysis between the patient and the average was recruited.;null
fcondemi;12;;19th European Congress of Physical and Rehabilitation Medicine ESPRM-SOFMER Congress, Marseille (FRANCE).;01-03-2014;In our kinematic analysis laboratory we have developed a protocol for angles measurement   of   the   humerus and   the   scapula   rotation   during   the segmentary shoulder\u2019s movements, with an optoelectronic system. This  protocol  has  been validated  on 30  healthy  subjects and tested  on 25 patients with Rotator cuff Syndrome documented by shouder\u2019s clinical tests or echography.The aim of this work is to determine for which movement there are the most relevant restrictions on examinated patients.For  the  movement  analysis  we have used an optoelectronic  digital  system(BTS SMART-DX)consists of two of infrared cameras directly connected to an integration  box  that  contains  appropriate  software  for  data  capture and motion analysis.The protocol used 8 markers positioned on anatomical points of subject\u2019s shoulder.It has been possible to analyze the shoulder\u2019s movements limitations caused by Rotator cuff Syndrome.The most sensitive movements,compared to the normal  class  ones, are and  humerus  abduction  (95.83\u00b0\u00b120.04)and  flexion (133,27\u00b0\u00b112.56), extra-rotation (58.77\u00b0\u00b119.33) and intra-rotation (69,47\u00b0\u00b0\u00b117,98)  while  the less  sensitive  movements  are  scapula  rotation during abduction and flexion (42,73\u00b0\u00b11%% and 48,63\u00b0\u00b111%%).Next step is to use this protocol to follow how this angles change during the time in these patients after different medical or Phisicaltherapy .;null
fcondemi;13;;60th Annual Conference of ASAIO;01-01-2014;Our goal is to develop a double lumen cannula (DLC) for a percutaneous right ventricular assist device (pRVAD) in order to eliminate two open chest surgeries for RVAD installation and removal. The objective of this study was to evaluate the performance, flow pattern, blood hemolysis, and thrombosis potential of the pRVAD DLC.Computational fluid dynamics (CFD), using the finite volume method, was performed on the pRVAD DLC. For Reynolds numbers <4000, the laminar model was used to describe the blood flow behavior, while shear-stress transport k-\u03c9 model was used for Reynolds numbers >4000. Bench testing with a 27 Fr prototype was performed to validate the CFD calculations.There was <1.3%% difference between the CFD and experimental pressure drop results. The Lagrangian approach revealed a low index of hemolysis (0.012%% in drainage lumen and 0.0073%% in infusion lumen) at 5 l/min flow rate. Blood stagnancy and recirculation regions were found in the CFD analysis, indicating a potential risk for thrombosis.The pRVAD DLC can handle up to 5 l/min flow with limited potential hemolysis. Further modification of the pRVAD DLC is needed to address blood stagnancy and recirculation.;null
fcondemi;14;;Interactive CardioVascular and Thoracic Surgery;01-01-2013;The revival of the apicoaortic conduit has attracted new interest in this alternative treatment for severe aortic stenosis unsuitable for conventional valve replacement. However, doubts still exist about the perfusion of the epiaortic vessels after apicoaortic conduit implantation, especially when severe aortic stenosis is associated with aortic valve insufficiency. The aim of the study was to evaluate the perfusion of the epiaortic vessels (innominate artery, left carodit artery and left subclavian artery) in cases of mixed aortic valve disease before and after apicoaortic conduit implantation.Starting from the data of a real patient with severe aortic stenosis and mild aortic insufficiency who underwent apicoaortic conduit implantation, we created a computational model where severe aortic valve stenosis was associated with different grades of aortic insufficiency (mild, medium and moderate).A total of six combinations were analysed. In all simulations, the more severe the concomitant aortic insufficiency, the more the flow through the epiaortic vessels was diminished. After apicoaortic conduit implantation, there was an absolute augmentation of the median output in each epiaortic vessel compared with the same combination of mixed aortic valve disease before implantation. Interestingly, retrograde flow from the conduit in the descending aorta was minimal and did not contribute to the improved output of the epiaortic vessels.The computational analysis suggested a protective effect, rather than steal phenomenon, of the apicoaortic conduit towards the cerebral perfusion, even in cases of mixed aortic valve disease.;null
fcondemi;15;;XIII Mediterranean Conference on Medical and Biological Engineering and Computing (MEDICON);01-01-2013;The revival of the apico aortic conduit has attracted new interest towards this alternative treatment for severe aortic stenosis not suitable to conventional valve replacement. The new automated coring and apical connector insertion kit released by Correx (Waltham, MA) made the procedure feasible on beating heart without cardiopulmonary bypass. However, little is known about the changes in the perfusion of the epiaortic vessels after apico aortic conduit implantation, especially when severe aortic stenosis is associated with aortic valve insufficiency.We constructed a computational model to investigate the perfusion of the epiaortic vessels before and after apico aortic conduit implantation in the particular scenario of a patient with severe aortic valve stenosis associated each time with different grades of aortic insufficiency (mild, medium, moderate and severe).There were a total of eight combinations analyzed. In all simulations, there was a diminished flow through the epiaortic vessels the more severe the concomitant aortic insufficiency was. After apico aortic conduit implantation, there was an absolute augmentation of the median output in each epiaortic vessels compared with the same combination of mixed aortic valve disease before its implantation. Interestingly, retrograde flow from the descending aorta was trivial and did not contribute to the output improvement of the epiaortic vessels.The computational analysis suggested a protective effect, rather than a stealing phenomenon, by the apico aortic conduit to the cerebral perfusion;null
fcondemi;16;;International Journal of Privacy and Health Information Management (IJPHIM);01-01-2013;Cardiovascular diseases are considered to be the main cause of death in developed countries. Due to limitations resulting from in-vivo measurements of velocity, the analysis and evaluation of hemodynamic parameters by means of computational simulations have become the only efficient solution, especially in cases of pathological ventricle or of assisted conditions. A Left Ventricular Assist Device (LVAD) has been used to provide hemodynamic support to patients with critical cardiac failure. The approach used in this work is to develop a Computational Fluid Dynamics (CFD) model of the aorta, including a mechanical support similar to the LVAD (Jarvik 2000 Heart Inc, New York, NY) in order to assess its effects on local haemodynamics. Its purpose is to analyse the hemodynamic effects of a continuous flow LVAD, evaluated in three different working conditions, taking into account the outflow-graft anastomosis in two different locations: thoracic and ascending aorta.;null
annapriu;1;;International Journal of Child-Computer Interaction;24-04-2021;A Toy User Interface (ToyUI) is a setup combination of one or more toy components with other hardware or software components. As part of new technologies that permeate the Child\u2013Computer Interaction (CCI) domain, a ToyUI can combine physical toy components with social robots, smartphones, tablets, game consoles, among other computing artifacts. This paper compiles a collection of design tools that we develop to support interdisciplinary creators in prototyping innovative ToyUI setups. The design tools aim to help the CCI community understand the benefits of hardware and software integration while delivering solutions that can meet privacy by design principles. We apply the Design Science framework to assess the problem context and propose and evaluate the design tools following a Human-Centered Design (HCD) perspective. The tools cover steps from inspiration to ideation and implementation, including user research, brainstorming, data collection planning, and low to high-fidelity prototyping tools. We detail the current version of the design tools and six years of results through qualitative evaluation in an educational setting (with 255 creators in seven different institutions). We also propose novel versions of the tools to support remote teamwork and education, and we highlight training challenges during the social distancing context.;https://www.sciencedirect.com/science/article/abs/pii/S2212868921000350
annapriu;2;04;Electronic Commerce Research and Applications;28-09-2020;A Toy User Interface (ToyUI) is a setup that combines smart toy components with other hardware and software components to enhance the player\u2019s experience. We propose a novel Rapid Prototyping Tool to facilitate the development of smart toy components so that creative teams can focus on design improvements. IoT4Fun is a hardware toolkit that supports distributed data collection through wireless communication and contactless identification. It can support a range of play and interface features and limit personal data acquisition by collecting motion tracking information. We compare IoT4Fun single and modular toolkits by embedding them into ToyUI prototypes. The modular toolkit demonstrates more appropriate than the single-board version to design a variety of smart toy components when embedded into different shapes and sizes. A technical assessment compares battery consumption and identifies vulnerabilities of the modular toolkit. Ongoing improvements cover miniaturization, robustness, and designing a secure Application Programming Interface for easier development.;https://www.sciencedirect.com/science/article/abs/pii/S1567422320300867
annapriu;3;04;Hawaii International Conference on Systems Science;07-01-2020;Rapid prototyping tools turn the design of smart toys faster and easier for creative teams. Appropriate tools for smart toys should meet a list of requirements, which include distributed data collection and adaptability for assorted toy shapes and size. The IoT4Fun toolkit innovates by mixing the embedded, modular, and plug-and-play approaches. It supports motion tracking data, wireless communication, and contactless identification. IoT4Fun demonstrates its effectiveness to design a variety of smart toy solutions by fitting into a hula-hoop toy until spherical, cubic, and wearable shapes. Solutions connect with either mobile applications or other toys and play rules range from open-ended to closed behaviors. End-users exhaustively tested developed solutions, and technical assessment evaluates their integrity after playtesting sessions. Results show comparative data on battery consumption and vulnerabilities threats for data security and privacy of each design. Future versions of IoT4Fun can benefit from miniaturization, robustness, and reliability improvements.;https://scholarspace.manoa.hawaii.edu/handle/10125/63922
annapriu;4;;53rd Hawaii International Conference on System Sciences;07-01-2020;"Smart toys have become popular as technological solutions offer a better experience for children. However, the technology used increases the risks to children's privacy, which does not seem to have become a real concern for toy makers. Most researchers in this domain are vague in defining their motivations due to lack of an expert survey to support them. We conducted a literature survey to find papers on smart toy-related children's privacy risks and mitigation solutions. We analyzed 26 papers using a taxonomy for privacy principles and preserving techniques adapted from the IoT context. Our analysis shows that some types of risks received more attention, especially (a) confidentiality, (b) use, retention and disclosure limitation, (c) authorization, (d) consent and choice, (e) openness, transparency and notice and (f) authentication. As for solutions, few were effectively presented; the vast majority related to data restriction -- (a) access control and (b) cryptographic.";https://scholarspace.manoa.hawaii.edu/handle/10125/63921
annapriu;5;;Electronic Commerce Research and Applications;01-01-2020;Smart toys have become popular as technological solutions offer a better experience for children. However, the technology employed greatly increases the risks to children\u2019s privacy, which does not seem to have become a real concern for toy makers. We investigated this issue through a study driven by two major research questions: which are the major smart toys-related children\u2019s privacy risks and which are the major mitigation so to such risks. To answer these questions, we conducted a scoping review. As a result, we selected 26 primary studies and elaborated two classifications of risks and proposed solutions \u2013 technical and domain-specific. The most mentioned technical risk is data disclosure, while from a domain-specific perspective there is much concern on the children\u2019s physical and psychological safety. From a mitigation standpoint, many recommendations and solutions have been proposed, but without a more common type of contribution. As a main conclusion, we observed that toy makers and privacy regulations are not yet ready regarding children\u2019s privacy for a more active smart toys market.;https://www.sciencedirect.com/science/article/pii/S1567422319300997
annapriu;6;;2th CMI Conference on Cybersecurity and Privacy (CMI);28-11-2019;Ubiquitous mobile technology like Smart Connected Toys (SCTs) have unique challenges of clearly defining context data elements due to unstructured, consistent, and persistent changes in the environment. SCTs interact with its context to achieve meaningful functionality while maintaining context data privacy. As SCTs become increasingly pervasive, the toys with their built-in features must be aware of and adapt to their changing contexts while providing a sense of privacy and security to contextual data processed to support its use. This paper presents a context profile through SCT Privacy-Preserving Context Ontology (PPCO) and examines the benefits of designing a context data model for SCT privacy goals. Our proposed data context model is an abstract model, which organizes elements of data and standardizes how they relate to one another. It organizes properties of related entries in SCT based on eXtensible Markup Language (XML) to depict and project how the SCT contextual information - related to the SCTs' environment - is assembled and maintained. Ultimately, the PPCO provides a structured description of the SCT context profile necessary to identify needed privacy controls to support SCT privacy goals.;https://ieeexplore.ieee.org/abstract/document/8962141
annapriu;7;;9th IEEE International Symposium on Cloud and Service Computing;19-11-2019;The smart toy industry faces challenges to achieve Hardware and Software (H&S) integration since numerous products are not generating enduring value propositions to the consumers. It is possible to achieve better H&S integration by following suitable design practices. Here, we propose four Human-Centered Design (HCD) tools for the development of smart toys solutions. The four HCD tools intervene on idea generation, data collection planning, and both low and high-fidelity prototyping of the solutions. The aim is to assist designers, developers, and engineers in producing better H&S integrated solutions by offering tools that meet HCD principles. The primary usage of the HCD tools with 27 graduate students assisted these multidisciplinary teams in creating five prototypes that were positively evaluated by end-users. Technical evaluation checks for the integrity of the prototypes after testing and results show comparative data on battery consumption and list potential privacy and security vulnerabilities. Improvements include adapting ideation tool to incorporate marketing-oriented strategies, authentication and data encryption for the toolkit, and assessing the tools with professional teams of the industry.;https://link.springer.com/chapter/10.1007/978-3-030-38651-1_26
annapriu;8;;Journal of Systems Architecture;01-08-2019;Toys are play products designed for leisure and social play activities. Today, play products increasingly incorporate hardware and software computation, often connecting to online services and other computing devices, thus being commonly referred to as \u201csmart toys.\u201d Accordingly, such products can also be categorized as user interfaces as they allow human interaction with digital contents using the physical toys\u2019 inputs and outputs. Here we propose the idea of Toy-User-Interfaces (ToyUI) and relate them to the domains of human-computer interaction, mixed reality, and the Internet of Things. We surveyed and categorized a multitude of ToyUIs, gathering information from research papers and toy companies by performing both a systematic mapping (covering research from 2008 to 2017) and an industrial mapping (covering releases from 2012 to 2017). The resulting 297 items were then analyzed according to our classification model, being divided into four categories, eight genres, and 22 setups, considering the play features and the interface features of such items. The classification model and the analysis of the results allowed us to identify six trends in design and technology for ToyUI. Ultimately, our research findings may guide the future of ToyUI projects for researchers, designers, educators, therapists, and end-users.;https://www.sciencedirect.com/science/article/pii/S138376211830153X
annapriu;9;;52nd Hawaii International Conference on System Sciences;08-01-2019;Toy-user-interfaces (ToyUI) are computing devices or peripherals that leverage interactivity and connectivity with other devices to promote physical and social play. ToyUI products may collect both personal and non-personal data (NPD) on their users. We propose nine data patterns for NPD collection as part of ToyUI design based on the study of 297 ToyUI items from both the literature and industry. In addition, we introduce a printed circuit board (PCB) used for rapid prototyping that enabled NPD data collection concerning both objects and users by gathering non-personal identification, positioning system, and motion tracking. We demonstrate the effectiveness of our hardware architecture by embedding it into two design scenarios, namely, closed rules and open-ended rules solutions. The objectives here are to assist the ToyUI makers in creating more meaningful play experiences while ensuring the privacy of children's and their parents\u2019 data.;https://scholarspace.manoa.hawaii.edu/handle/10125/59612
annapriu;10;04;MSc Thesis CIN-UFPE;31-07-2017;Both toy and games industries are investing in hybrid play products. In such scenarios the user access the system using toys as input/output, thus, these products consist of playful user interfaces. Hybrid play systems are complex design artefacts since they use real and virtual information, so they present new challenges to both designers and developers. We suppose both industries could benefit with hybrid design approaches from product concepts. Our main research goal aims to develop tools and methods to assist the community in developing such interactions. Hence, we performed a systematic literature review covering related research published between 2008 and 2016. To extend our contribution, we added 120 hybrid play products from a market review. After data extraction, we managed results to propose a relational model for hybrid gameplay interaction. The model comprises several interactive aspects relating three entities: the things, environment, and people. The model allowed describing different scenarios of smart play including both active and passive technologies, that are located either in outdoor or indoor environments. Aiming to evaluate model usage, we applied it as a practical tool for designing hybrid playful systems. To achieve it, we included the model in a 16-week class to design hybrid games. We detailed model usage in the course schedule and discussed how students experienced it. Besides, we presented student\u2019s six working prototypes, including design cycles, and playtesting sessions. After class, we conducted semi-structured interviews with student\u2019s representatives. Results revealed model usefulness to describe their system setup and interface elements. According to students, model vocabulary facilitated communication among team members. Afterwards, we proposed improvements in model nomenclature based on student\u2019s feedback.;https://repositorio.ufpe.br/handle/123456789/34470
annapriu;11;;Springer;09-07-2017;Both toy and games industries are investing in hybrid play products. In these scenarios user access the system using toys as input/output, thus, they consist of playful user interfaces. Such systems are complex artifacts since they use real and virtual information. Therefore, they present new challenges to both designers and developers. We supposed both industries could benefit from hybrid design approaches since product concepts. Hence, we applied the model of hybrid gameplay as a practical tool for designing such systems. To achieve it, we included the model in a 16-week class to design hybrid games. In this paper, we detailed model usage in course schedule, and discussed how students experienced it. Besides, we presented student\u2019s six working prototypes, including design cycles, and playtesting sessions. After class, we conducted semi-structured interviews with student\u2019s representatives. Results revealed model usefulness to describe the system setup and interface elements. Furthermore, according to students, the model vocabulary facilitated communication among team members. Finally, we proposed improvements in model nomenclature based on student\u2019s feedback. In addition, we recommend a few topics for a methodological approach to design hybrid games.;https://link.springer.com/chapter/10.1007/978-3-319-58697-7_48
annapriu;12;;Design, User Experience and Usability: Novel User Experiences,  LNCS 9747, Springer;22-06-2016;In recent years, a range of industry sectors including digital games and toys has incorporated smart tangible things into their design. This paper seeks to investigate how to integrate these physical objects associated with connectivity technologies into digital games, and how they affect the game design decisions. Therefore, the research flow consists in, systematically reviewing the literature, and then, analyzing existing market scenarios. Hence, the results of data extraction allowed to structuring a relational model of the entities that comprise different scenarios of smart play.;http://link.springer.com/chapter/10.1007%%2F978-3-319-40355-7_24
norbert-onyenuma;1;;First Bank Internal weekly publication;01-01-2015;A weekly series that seeks to enlighten staff on IFRS and how it affects them. IFRS often involves process changes, changes in the data collected and recorded as well as performance measurement.;null
hua-song-1324439;1;2013-05-2013;ACS Applied Materials & Interfaces;27-05-2020;The effects of Zn\u2013Pt interaction and Pt dispersion over a uniform compact cylindrical shape ZSM-5 (UZSM-5) on the catalytic octane aromatization performance are investigated. The comparison between different Pt- and Zn-modified ZSM-5 catalysts demonstrates the significance of ZSM-5 morphology and, more importantly, the metal distributions on it. For the UZSM-5 support, Pt atoms prefer to occupy the sites within its inner pores, resulting in high selectivity to xylenes during the octane aromatization. The Zn deposit in inner pores and higher dispersion of Pt lead to the spillover of Pt sites to the external surface, which is critical for the activation of octane to produce reaction intermediates that are further converted to aromatics over the inner pore catalytic sites. These effects are evidenced by a diffuse reflection infrared Fourier transform spectroscopy study of CO adsorbed on the catalyst surface. In situ X-ray absorption fine structure spectra are collected to probe the coordination number and the chemical environment of Pt and Zn atoms in the catalysts during the octane aromatization reaction. Pt and Zn are well dispersed and stable during the reaction, and a partial reduction of Pt during the reaction is observed. A theoretical study using the density functional theory method predicts that the reaction and transition-state intermediates upon octane activation are better stabilized by Pt(111) of Pt external surface sites with a smaller activation barrier, indicating their significance in C\u2013H activation. This hypothesis is further evidenced by comparing the octane aromatization performance of various modified catalysts through varying Zn loading, blocking inner pores, and covering the external catalytic sites with SiO2.;https://pubs.acs.org/doi/10.1021/acsami.0c07039
hua-song-1324439;2;;The Journal of Physical Chemistry Letters;29-04-2020;We report a novel nonthermal plasma-assisted photocatalytic approach that could efficiently convert the main components of natural gas, methane and propane, into high-quality gasoline chemicals abundant with C6\u2013C9 branched-chain paraffins at low temperature and atmospheric pressure. The conversions of methane and propane can reach up to 15.0%% and 48.6%%, respectively. A 58.4 C%% yield of gasoline products with limited coke deposition (6.3 C%%) can be achieved via the combination of plasma with photocatalysis. Isotope labeling experiments show that methane prefers to be incorporated into 1-C or 2-C of the formed alkanes as a terminal group. Our work demonstrates an industrially promising strategy for the cost-efficient utilization of natural gas.;https://pubs.acs.org/doi/10.1021/acs.jpclett.0c00934
hua-song-1324439;3;;Chemical Communications;31-03-2020;A catalytic asphaltene upgrading process was performed in the presence of methane. Through 13C isotope labelling, methane was proven to be successfully incorporated into the liquid product, preferably in aliphatic structures. Control experiments suggested that the presence of both catalyst and methane is indispensable for improving product quality.;https://pubs.rsc.org/en/content/articlelanding/2020/cc/d0cc01736a/unauth#!divAbstract
hua-song-1324439;4;;Chemical Communications;31-03-2020;We reported a novel non-thermal plasma induced photocatalytic transformation of light hydrocarbons over Ti\u2013Ga/UZSM-5, which gives 47.8 C%% of liquid products, with C6\u2013C9 iso-alkanes being the major components, and limited coke (5.5 C%%). Combining the plasma with a photocatalyst displays great potential to produce gasoline range chemicals from low-cost gaseous hydrocarbons under near ambient conditions.;https://pubs.rsc.org/en/content/articlelanding/2020/cc/d0cc00975j/unauth#!divAbstract
hua-song-1324439;5;;Fuel;31-01-2020;The direct conversion of bamboo to aromatics was investigated over Zn and/or Ga modified zeolite catalysts under a methane environment. Aromatics are the main liquid products from bamboo conversion on a batch reactor. The reaction over Zn-Ga/ZSM5(30) gives 19.2 wt%% yield of aromatics with 55.6%% selectivity towards BTEX (benzene, toluene, ethylbenzene, and xylene) at 400 \u00b0C. Zn loading promotes the deoxygenation of oxygenated intermediates from bamboo decomposition and favors the formation of BTEX. Ga addition has little effect on BTEX selectivity but improves the aromatics yield. The presence of methane has a negligible impact on residue reduction, however, methane co-existence could benefit the formation of aromatics. Acidity characterization using pyridine and ammonia as probes shows HZSM5 modification with Zn and Ga species significantly increase the number of weak acidic sites. The catalyst with abundant acidic sites, particularly, weak acidic sites, would be beneficial for the conversion of bamboo to aromatics with higher BTEX selectivity. More aromatics with less residue can be produced from bamboo with higher holocellulose content. The results reported in this work could contribute to a better understanding of bamboo conversion into valuable chemicals and cost-efficient utilization of biomass resources.;https://www.sciencedirect.com/science/article/pii/S0016236120301915?dgcid=author
hua-song-1324439;6;;Fuel;12-09-2019;The effects of variable factors such as temperature, pressure, weight hourly space velocity (WHSV), catalyst regeneration and reaction time on catalytic upgrading of heavy oil under methane environment over Ag-Ga/HZSM-5 catalyst are evaluated by small pilot plant tests. The viscosity, TAN and average molecular weight of the heavy oil samples are notably reduced accompanied with a low olefin content after the catalytic upgrading. Methane incorporation to product molecules results in increased liquid product yield. The simulated distillation and compositional analysis results illustrate the conversion of resin and asphaltene components to small molecules. After the upgrading at 430\u202f\u00b0C and 5\u202fMPa, the percentage of gasoline content is increased to 17%% from 3%% in the feedstock, and the percentage of diesel fraction is increased to 27%% from 21%%. The percentage of light end volatiles is increased from 4.4%% to 22.2%%. During the catalytic upgrading, a higher temperature and pressure benefits the oil quality improvement and methane participation while maintaining the high liquid yield and low coke generating rate. Outstanding stability of the product oil samples is witnessed by comparing the products obtained at variable reaction time. A higher WHSV results in slightly compromised performance of the catalytic upgrading of heavy oil under methane. A positive effect of catalyst regeneration is witnessed. Stable oil quality from the upgrading process is observed when catalysts have been regenerated twice or more. The knowledge obtained in this study would benefit the potential industrial application of this innovative technology at larger scales and guide the further reaction condition optimization.;https://www.sciencedirect.com/science/article/pii/S0016236119315157?via%%3Dihub
hua-song-1324439;7;;Fuel;23-05-2019;One-pot catalytic co-conversion of xylose and methane to aromatics was investigated under solvent-free conditions. Aromatics are the major liquid products from xylose conversion. 57.6%% yield of aromatics with 63.1%% selectivity of BTEX, and 10.9%% yield of solid residue are achieved over HZSM-5 modified with Zn and Cr species. It\u2019s evidenced that methane presence could effectively improve the yield of aromatics and the selectivity of BTEX, and greatly reduce the formation of solid residue. The results of pyridine absorption and NH3-TPD measurements indicate that the distribution of Bronsted and Lewis acidic sites over the catalyst has a negligible effect on xylose conversion to aromatics. More acidic sites with higher ratio of weak acid sites could benefit the formation of aromatics with high BTEX selectivity during the xylose conversion. The possible reaction pathway involved in xylose conversion to aromatics is proposed based on pseudo-situ investigations. The findings in this work lead to a better understanding of the chemistry involved in xylose conversion, which could potentially contribute to the cost-efficient utilization of natural gas and biomass.;https://www.sciencedirect.com/science/article/pii/S0016236119308415?dgcid=author
hua-song-1324439;8;;Energy Conversion & Management;10-04-2019;Non-thermal plasma (NTP) assisted direct conversion of biogas (CH4 and CO2) into valuable liquid chemicals rather than syngas is investigated. The conversion of CH4 and CO2 is 22.1%% and 16.2%%, respectively, when combining NTP and Pt/UZSM5 catalyst. Approximately 60%% yield of liquid products (formaldehyde, methanol, ethanol, and acetone) with limited carbon deposition (5.1%%) is achieved. Coke formation is significantly lower than that has been previously reported in the dry reforming of methane with carbon dioxide to liquid oxygenate chemicals. High ratio of weak acidic sites and Pt species over zeolite catalyst benefit the formation of liquid chemicals and coke reduction, which can be used for catalyst modification to enhance the liquid yield and control coke formation.;https://www.sciencedirect.com/science/article/pii/S0196890419304388?dgcid=author
hua-song-1324439;9;;Communications Chemistry;09-04-2019;The presence of sulfur contaminants in bitumen derived crude oils can lead to rapid catalyst deactivation and is a major problem faced by downstream refiners. Whilst expensive hydrotreating steps may remove much of the sulfur content, it is important to understand how catalyst deactivation by sulfur poisoning occurs and how it may be mitigated. Here we report a mechanistic study of sulfur poisoning over a zeolite catalyst promoted with silver and gallium Lewis acids. Olefin upgrading, an essential process in the refinement of heavy oils, is used as a model reaction. Access to the zeolite inner pores is blocked by bulky, weakly adsorbed sulfur species. Pore access and thus catalyst activity is restored by increasing the reaction temperature. We also show that a simple alkaline treatment greatly improves both the sulfur tolerance and performance of the catalyst. These findings may enhance the rational design of heterogenous catalysts for olefin upgrading.;https://www.nature.com/articles/s42004-019-0141-4
