public_identifier;num_accomplishment_honors_awards;title;issuer;issued_on;description
sarah-hertz-a6638974;4;;SSHRC;01-01-2013;null
sarah-hertz-a6638974;5;;University of Calgary;01-01-2012;null
sarah-hertz-a6638974;6;;University of Calgary;01-01-2012;null
sarah-hertz-a6638974;7;;University of Calgary;01-01-2012;null
sarah-hertz-a6638974;8;;University of Calgary;01-01-2011;null
sarah-hertz-a6638974;9;;University of Calgary;01-01-2010;null
sarah-hertz-a6638974;10;;University of Calgary;01-01-2009;null
marc-antoine-guay-945a2092;1;01-00-08-2016-00-09;Jeux du Commerce - Congebec;null;D\u00e9l\u00e9gation de l'Universit\u00e9 Laval
pauljacobproductions;1;;2018 Burning Hammer Film Festival;null;null
eliciamaine;1;2018;BC Business;01-01-2018;Named as one of 2018\u2019s most influential women in STEM in BChttps://www.bcbusiness.ca/BCs-Most-Influential-Women-2018-Stem-Stars
eliciamaine;2;2017;SFU Beedie;01-08-2017;SFU Beedie's highest award for teaching.
eliciamaine;3;;BC Tech;01-06-2016;Finalist for the BC Technology Impact Awards 2016  \u201cPerson of the Year\u201d for creating the Invention to Innovation (i2I) Program and for actively contributing to BC\u2019s innovation ecosystem
badal;1;;Acad\u00e9mie Catholique M\u00e8re-Teresa;01-06-2020;null
badal;2;2020;McMaster Designathon;01-01-2020;null
badal;3;;McMaster University;01-06-2019;-Awarded for students whose final grades are among the top 15%% of their program
badal;4;;Acad\u00e9mie Catholique M\u00e8re-Teresa;01-06-2018;null
badal;5;;The Governor General Of Canada;01-06-2018;Given to the student who obtained the highest average in their final year of high school.
badal;6;;McMaster University;01-06-2018;-Awarded to a student who achieved a final admission average of 95%% or higher to their program of study
badal;7;;Schulich Leaders;01-06-2018;null
badal;8;;Catholic Youth Orgnanization (CYO);01-08-2017;null
keneishawilliams;1;;Power to Girls;01-05-2014;Presented at the 2014 Power to Girls conference for being a key note speaker to high school students.
keneishawilliams;2;;Power to Girls;01-05-2014;Presented at the 2014 Power to Girls conference for being a key note speaker to high school students.
keneishawilliams;3;;Miss Black Beauty Canada;01-08-2013;Presented to the contestant who demonstrated outstanding leadership and team work skills towards other contestants.
keneishawilliams;4;;Ryerson University;01-01-2009;A leadership program which includes workshops, presentations, and activities to create leading students and industry leaders. This program challenged students to step outside of their comfort zones and adapt to various situations.
keneishawilliams;5;;The 21st CAPDHHE Conference;01-04-2006;Awarded to students who acquired the skills and knowledge to recognize and manage discrimination and harassment in and outside of higher education.
keneishawilliams;6;;Sir Sandford Fleming Academy;01-06-2003;Awarded to a student who has worked diligently and enthusiastically to promote Cooperative Education and other forms of Experiential Learning.
alisa-hopkinson-a5204671;1;2013-2014;GoodLife Fitness;01-08-2014;One of four nominees for National Top Club in the company. Company consisted of 350 + clubs.
alisa-hopkinson-a5204671;2;;Harvard University Model United Nations;01-02-2000;First place at Harvard National Model United Nations, a four day international debate. Committee for the Status of Women. Boston, MASS
alisa-hopkinson-a5204671;3;;York University;01-09-1997;Toronto, ON
alisa-hopkinson-a5204671;4;;Seneca College of Applied Arts and Technology;01-05-1997;Toronto, ON
alisa-hopkinson-a5204671;5;;Seneca College of Applied Arts and Technology;01-05-1997;Toronto, ON
alexandre-duchesne-298546a8;1;;Desautels Faculty of Management;01-05-2017;null
alexandre-duchesne-298546a8;2;03;Jeux du Commerce;01-01-2017;null
alexandre-duchesne-298546a8;3;01;Jeux du Commerce;01-01-2016;null
alexandre-duchesne-298546a8;4;02;Desautels Case Competition;01-09-2014;null
alexandre-duchesne-298546a8;5;2013;Champlain College;01-06-2013;null
alexandre-duchesne-298546a8;6;2012;Champlain College;01-12-2012;null
pascal-pomerleau-770853115;1;00-09;Fondation de l'Universit\u00e9 Laval;01-09-2015;Bourse de mobilit\u00e9 bilat\u00e9ral-profil international afin de terminer mon baccalaur\u00e9at dans une universit\u00e9 \u00e9trang\u00e8re (TUM - Technische Universit\u00e4t M\u00fcnchen).
pascal-pomerleau-770853115;2;;OAAAS (Ontario Association for Applied Architectural Sciences);01-06-2013;Obtention d\u2019une bourse de reconnaissance architecturale d\u00e9cern\u00e9e par l\u2019OAAAS pour le meilleur projet de fin d\u2019\u00e9tudes.
pascal-pomerleau-770853115;3;00-09;Fondation de La Cit\u00e9 coll\u00e9giale;01-01-2011;Obtention d\u2019une bourse d\u2019\u00e9tudes pour excellence acad\u00e9mique apr\u00e8s la premi\u00e8re session d\u2019\u00e9tude (moyenne pond\u00e9r\u00e9 de session de 4,3 sur 4,3).
jennakachur;1;2019;Marketing Students\u2019 Society;01-11-2019;Selected for my demonstration of leadership skills.
jennakachur;2;;University of Saskatchewan Students' Union;01-03-2019;This award is presented to student volunteers in a campus group who spend their time and energy to ensure that non-academic facets of the student experienced are enhanced. In 2019, it was awarded to the Young Women in Business USask Chapter.
jennakachur;3;;Edwards School of Business;01-09-2018;Awarded to Co-op students for the significant contributions they made to their employers during their work placement.
jennakachur;4;;-;01-09-2015;Selected for my ideologies about being adopted and its significance to me.
cameronwong20;1;;Kevin Cudihee, Program Head, Part-time Studies;01-06-2020;During my studies at BCIT, I was able to achieve high grades. However, I was nominated for this award not only because of my academic performance but also because I was working full-time while taking part-time classes.
alessandra-caruso-792856197;1;2019;George Brown College;01-01-2019;null
alessandra-caruso-792856197;2;2018;George Brown College;01-01-2018;null
alessandra-caruso-792856197;3;;Murky Matt- Founder of Pirate Life Toronto;01-01-2016;null
madison-boone-483557192;1;;-;01-09-2018;null
madison-boone-483557192;2;;-;01-05-2018;null
gabrielle-boulding-9a334688;1;;Canadian Athletic Therapy Association;01-06-2019;"Student Review Article - \""Kinesiophobia and its Impairment of Successful Return to Sport After Anterior Cruciate Ligament Injury and Reconstruction\"
gabrielle-boulding-9a334688;2;03;OATA;01-04-2018;OATA Annual 3rd year student scholarship in athletic therapy- Career promise based on resume- Positive athletic therapy experience expressed in written application
gabrielle-boulding-9a334688;3;;KineMedics;01-04-2017;Integration of course material into placement, commitment and dedication to one's academic career and future work in the field of athletic therapy.
gabrielle-boulding-9a334688;4;;OUA - Ontario University Athletics;01-04-2016;Received this award 5 times - for all 5 varsity seasons on the Gryphon Figure Skating- Academic Achievement and Athletic performance combined
gabrielle-boulding-9a334688;5;;-;01-01-2016;Support Staff Member of the Year for the 2015 Yates cup championship season- Student Athletic Therapist for the team- 40-50 hours a week spent with the football team, at practices, games, and in the clinic
mina-markovic-95509a106;1;;National Sciences and Engineering Research Council of Canada (NSERC);01-04-2020;A SSHRC research grant received to fund my Master's thesis research, to be undertaken during a residency placement at a cultural heritage institution starting in January 2022.
mina-markovic-95509a106;2;;Yeates School of Graduate Studies at Ryerson University;01-09-2019;An Ontario Graduate Scholarship received for the academic year of 2019-2020, for high academic standing during the final years of my Bachelor of Fine Arts degree.
max-d-ambrosio-4bb59665;1;;Oak Bay High School/School District 61;01-01-2008;An award for excellence and aptitude in creative writing.
anum-liaqat-b696397a;1;;Haseen Habib Corp;01-10-2019;Awarded after comprehensive biannual performance appraisal
anum-liaqat-b696397a;2;;Haseen Habib Corporate;01-08-2019;Awarded on delivering training session on Fire Safety to an external client
nada-ak;1;;Concordia University;01-09-2018;null
nada-ak;2;;American University in Cairo;01-06-2018;null
nada-ak;3;;The American University in Cairo;01-09-2013;The achievement scholarship is granted up to the top 25 percent of degree-seeking undergraduate students.
nada-ak;4;;American University in Cairo;null;Held throughout September 2013 up till June 2018
nathan-woodbury-174a2b192;1;;NSERC Canada;01-01-2011;null
nathan-woodbury-174a2b192;2;;Entomological Society of Canada;01-01-2010;null
nathan-woodbury-174a2b192;3;;Simon Fraser University;01-01-2010;null
nathan-woodbury-174a2b192;4;;Simon Fraser University;01-01-2009;null
nathan-woodbury-174a2b192;5;;NSERC Canada;01-01-2008;null
nathan-woodbury-174a2b192;6;;Simon Fraser University;01-01-2007;null
nathan-woodbury-174a2b192;7;;Simon Fraser University;01-01-2006;null
nathan-woodbury-174a2b192;8;;Simon Fraser University;01-01-2005;null
nathan-woodbury-174a2b192;9;;Simon Fraser University;01-01-2004;null
muhammad-tahir-shaikh-779b5478;1;2020;DHL Global Forwarding;01-01-2021;null
asch72;1;;Manitoba Hydro;01-11-2014;null
nathan-wolg;1;;McGill University;01-01-2019;null
nathan-wolg;2;;McGill University;01-01-2018;null
ryan%%7Echeng;1;;Undergraduate Research Day Conference;01-08-2017;Won the best presentation award for the mechanical and industrial engineering session.
joseph-tortorelli-219a0021;1;;Atomic Energy of Canada Limited;01-04-2021;For contributions to the Federal Nuclear Science and Technology Work Plan
joseph-tortorelli-219a0021;2;;Deputy Minister, Natural Resources Canada;01-09-2019;NRCan Departmental Award for Achieving Results during work on the LNG file.
joseph-tortorelli-219a0021;3;;Assistant Deputy Minister, Natural Resources Canada;01-03-2019;Policy Excellence in advancing the competitiveness of Canada's oil and gas industry.
joseph-tortorelli-219a0021;4;;Deputy Minister, Environment and Climate Change Canada;01-06-2017;In recognition of outstanding teamwork and collaboration
joseph-tortorelli-219a0021;5;;Director General, Environment and Climate Change Canada;01-10-2016;Demonstrating leadership in promoting health through volunteering time and effort organizing and coordinating classes, and boosting employee morale throughout the Department
joseph-tortorelli-219a0021;6;;Executive Director, Oil, Gas and Alternative Energy Division, Environment and Climate Change Canada;01-06-2016;Excellence in supporting the completion of upstream GHG assessments for pipeline projects under environmental review including publication in Canada Gazette of a proposed methodology
joseph-tortorelli-219a0021;7;;Executive Director, Oil, Gas and Alternative Energy Division, Environment and Climate Change Canada;01-02-2016;Extraordinary efforts and teamwork during the development of upstream GHG estimates for LNG projects
joseph-tortorelli-219a0021;8;;Executive Director, Oil, Gas and Alternative Energy Division, Environment Canada;01-11-2013;Dedication and outstanding contributions towards the commencement of Oil and Gas GHG regulatory drafting
joseph-tortorelli-219a0021;9;;Executive Director, Oil, Gas and Alternative Energy Division, Environment Canada;01-06-2012;Outstanding accomplishments in the development of Base Level Industrial Emissions Requirements
joseph-tortorelli-219a0021;10;;Campaign Leader, Government of Canada Workplace Charitable Campaign;null;Recognition of  volunteering (five years) at the Government of Canada Workplace Charitable Campaign
aisha-abdulla-3b237214a;1;;-;null;null
aisha-abdulla-3b237214a;2;;-;null;null
halarewich;1;30-30-2016;BCBusiness;01-03-2016;The BCBusiness 30 Under 30 celebrates B.C.'s young guns who excel in their respective industries, give back to their community and planet and who will lead business in this province for years to come.
halarewich;2;20;Capterra;01-06-2015;LemonStand was selected as being in the top 20 eCommerce platforms in the world, by industry analysts Capterra. http://www.capterra.com/ecommerce-software/#infographic
halarewich;3;2015;Unbounce;01-03-2015;"I designed and wrote the copy for a landing page promoting an eBook on eCommerce growth hacking, and it was entered into Unbounce's Page Fights competition, where top industry experts review hundreds of pages and pick the winner. My landing page went through several rounds of \""fights\"" and ultimately won, earning me bragging rights and an awesome trophy for my desk!"
halarewich;4;48;C100;01-06-2012;LemonStand was chosen as 1 of 20 top startups from Canada to participate in the 48hrs In The Valley event in San Francisco.
jeanne-paquette-9b01aa65;1;00-09-00-09;Remis par le Programme d\u2019excellence sportive de l\u2019UQAM;01-04-2013;Prix remis \u00e0 l'\u00e9tudiant-athl\u00e8te acad\u00e9mique de l\u2019ann\u00e9e 2012-2013
jeanne-paquette-9b01aa65;2;00-09-00-09-00-09-00-08-00-09-2019-00-09-00-09-2012-2013;Remis par le D\u00e9partement des sciences juridiques de l\u2019UQAM;01-01-2013;null
jeanne-paquette-9b01aa65;3;00-09-2019-00-09-2019-00-09-00-09-2012-2013;Remis par le D\u00e9partement des sciences juridiques de l'UQAM;01-01-2013;null
jeanne-paquette-9b01aa65;4;00-09-00-09;Remis par le Sport interuniversitaire canadien (SIC);01-01-2013;Prix pour l'ann\u00e9e 2012-2013
jeanne-paquette-9b01aa65;5;2019-00-09;Remis par le Sport interuniversitaire canadien (SIC);01-01-2012;Prix pour l'ann\u00e9e 2011-2012
jeanne-paquette-9b01aa65;6;00-09;Remis par le Sport interuniversitaire canadien (SIC);01-01-2011;Prix pour l'ann\u00e9e 2010-2011
nicolas-duquet-mba-4b239a40;1;;Universit\u00e9 du Qu\u00e9bec \u00e0 Montr\u00e9al;01-12-2007;null
fchishtie;1;;University of Ottawa;01-05-2018;Awarded to students with a GPA of 8.5 or above.
monahannora;1;;-;null;null
monahannora;2;08;-;null;Martingrove Collegiate Institute
deann-eckdahl-2b3b5369;1;;CPAWSB;01-01-2020;Recognizes facilitators or session leaders who have had a notable and positive impact on their candidates and approach their role with a dedication to excellence.
camerontucker1;1;2013;The Home Depot;01-03-2014;Identified as a top performer in the area of customer service for the year 2013
camerontucker1;2;;-;01-01-2014;null
camerontucker1;3;;Dalhousie University;01-01-2014;null
camerontucker1;4;;-;01-01-2013;null
camerontucker1;5;;Dalhousie University;01-01-2013;null
camerontucker1;6;;Lockview High School;01-06-2011;null
camerontucker1;7;;-;01-01-2011;null
camerontucker1;8;;Lockiew High School;01-01-2010;Achieving an average of 90%% of higher in all courses (also received in 2008 and 2009)
camerontucker1;9;;NSSAF and Acadia University;01-01-2010;Student who achieves grades over 85%% as well as greatly contributes to their school's athletic program
jinyan-guo;1;;Wilfrid Laurier University;01-09-2016;For achieving the highest overall GPA among eligible applicants
jinyan-guo;2;;Wilfrid Laurier University;01-09-2014;For entering university with an overall 95%% average
jinyan-guo;3;;Bishop Allen Academy;01-06-2014;For graduating with an average above 80%% in the six best Grade 12 courses
jinyan-guo;4;;Bishop Allen Academy;01-06-2013;For achieving a final average higher than 80%% in Grade 12 courses.
alisa-illichova;1;20;USPORTS;01-08-2018;Representative Rugby | Alberta Wolfpack
alisa-illichova;2;2019;Jimmie Condon Athletics Scholarship;01-04-2018;The Alberta Athletic Award recognizes and rewards athletic and academic excellence at universities, colleges, and technical institutions in Alberta
pratikbhandariprofile;1;;-;null;null
pratikbhandariprofile;2;03;-;null;null
pratikbhandariprofile;3;;-;null;null
jarthorne;1;;IBM;01-11-2015;Awarded to top IBM leaders in open source communities
jarthorne;2;2014;JavaOne;01-09-2014;null
jarthorne;3;2012-2014;-;01-03-2014;null
jarthorne;4;;-;01-03-2013;Responsible for selecting technical program for EclipseCon 2013 conference.
jarthorne;5;;Carleton University Senate;01-06-2000;null
jaspreet-dhuga;1;;PMRA - Health Canada;01-10-2020;null
jaspreet-dhuga;2;2018;Humber College;01-05-2018;null
jaspreet-dhuga;3;2017;Humber College;01-01-2018;null
jaspreet-dhuga;4;;Earl of March Secondary School;01-06-2011;null
jaspreet-dhuga;5;;University of Ottawa;01-06-2011;null
jaspreet-dhuga;6;2008-2009-2010;Earl of March Secondary School;null;null
gurjitdhariwal;1;2018;-;null;null
mohammedyoussefosteo;1;2019;-;01-01-2016;null
mohammedyoussefosteo;2;;University of Waterloo;01-09-2013;Entrance Scholarship
mohammedyoussefosteo;3;;Ministry of Education;01-06-2013;null
michelle-philippe-toronto;1;;Western University;01-05-2020;The Gold Medal is in honour of the Late Bishop Townshend of London, Ontario, and is awarded to the student who has achieved the highest academic standing in his/her program of study.
michelle-philippe-toronto;2;;Ryerson University;01-01-2013;null
michelle-philippe-toronto;3;;Ryerson University;01-01-2012;null
michelle-philippe-toronto;4;;Ryerson University;01-01-2011;null
michelle-philippe-toronto;5;;"Norrie Family; Ryerson University";01-01-2011;female with highest overall final grade in ITM100 Business and Information Systems
michelle-philippe-toronto;6;;Ryerson University;01-01-2010;null
shannon-sisk-094152181;1;;Western Univeristy;01-01-2020;This award is given to students who are engaging in an international learning opportunity who demonstrate excellent academic merit while also demonstrating how they will develop as a global citizen and be a positive ambassador for Western University.
shannon-sisk-094152181;2;2018-2019;Conference Carolinas;01-05-2018;This award is chosen based on a combination of athletic and academic performance.
shannon-sisk-094152181;3;;Limetone College;01-05-2018;Students must receive a 4.0 GPA for the semester in order to be named to the Dean's List.5-Time recipient of this honour.
shannon-sisk-094152181;4;;Limetone College;01-05-2018;Students must receive a 3.75 GPA for the semester in order to be named to the Presidential Honour Roll.8-Time recipient of this honour.
pratikkadekar;1;;EMBO;01-06-2018;Prestigious EMBO grant is awarded to less than 1%% of the applicants to present their research at the international conference.
pratikkadekar;2;;McGill Unviersity;01-09-2016;null
pratikkadekar;3;;McGill Unviersity;01-03-2014;null
pratikkadekar;4;;McGill Unviersity;01-09-2011;null
pratikkadekar;5;;McGill Unviersity;01-09-2011;Awarded to less than 30%% of international students
dnorth98;1;;Signiant;01-07-2012;Awarded project MVP for delivering new cloud-delivered solution, Media Shuttle
dnorth98;2;;Nortel Networks;01-07-2000;Awarded the Nortel Top Talent award (top 10%% of all employees in Nortel recognized)
nicolas-duguay-917b2613b;1;;University of Ottawa;01-09-2016;Scholarship of a value of up to $12 000 in light of having an admission average superior to 95%%.
nicolas-duguay-917b2613b;2;;University of Ottawa;01-09-2016;null
michael-penczak-10b7a2a3;1;;Dynatrace;01-10-2016;Validates the knowledge and experience required to use Dynatrace DPM technologies
michael-penczak-10b7a2a3;2;;Sheridan College;01-06-2015;null
michael-penczak-10b7a2a3;3;;OUA;01-10-2011;null
michael-penczak-10b7a2a3;4;2011-2012-2013;Western University;null;null
mohammedshahir;1;;Faculty of Civil Engineering;01-07-2010;Semester 2 - Academic Year 2009/2010
mohammedshahir;2;;Faculty of Civil Engineering;01-01-2010;Semester 1 - Academic Year 2009/2010
mohammedshahir;3;;Faculty of Civil Engineering;01-07-2009;Semester 2 - Academic Year 2008/2009
mohammedshahir;4;;Faculty of Civil Engineering;01-01-2008;Semester 1 - Academic Year 2007/2008
mohammedshahir;5;;Faculty of Civil Engineering;01-07-2007;Semester 2 - Academic Year 2006/2007
denise-murphy-859b5019;1;;-;01-09-2014;null
denise-murphy-859b5019;2;;University of Ottawa;01-09-2013;null
denise-murphy-859b5019;3;;Dr. Daniel, McGill Auditory Science Lab, McGill University;01-05-2010;null
denise-murphy-859b5019;4;;Graduate Studies, McGill University;01-10-2008;null
denise-murphy-859b5019;5;;Acadia University, Varsity;01-05-2006;Awarded for excellence in academics and varsity athletics.
denise-murphy-859b5019;6;;Three Day Equestrian Events and Horse Trials;null;null
mbrayshawbayer;1;;Mr. Tim Kindrat;01-05-1987;null
lynettekuan;1;;Father Michael McGivney Catholic Academy;01-06-2015;\u2022 Achieving an overall average of 80%% or more in all four years of high school (grade 9 - 12)
kayla-boyer-671aa25a;1;02;TD Canada Trust;01-12-2013;The challenge of this project was to design an android application revolving around Ethical Spending. We created a modern app that allows TD customers to see if the values of the companies they are spending at align with their own. The information is easily consumed and is presented to the user through custom chosen categories, as well as by individual company. By tackling this big data mountain we made the data digestible for the every day TD customer.
cameronthompson1;1;;Wilfrid Laurier University;null;Awarded Scholarship Funding for Academic Achievement2nd Year3rd Year4th Year
cameronthompson1;2;;Dalhousie University;null;Awarded scholarship funding to conduct planning research in Savannah, GA
anas-jarrar-9802035a;1;;Alberta Enterprise and Advanced Education;01-12-2012;Scholarship for exceptional academic achievement
anas-jarrar-9802035a;2;;Alberta Enterprise and Advanced Education;01-12-2011;Scholarship for exceptional academic achievement
anas-jarrar-9802035a;3;;NAIT;01-06-2011;Academic standing for achieving a weighted average of higher than 85%%
anas-jarrar-9802035a;4;;University of Alberta's Chapter of the Golden Key Internationl Honour Society;null;Life time membership in the Golden Key International Honour Society for undergraduate students in the top 15%% of their program
scott-bailey-software;1;;Dalhousie Univeristy Department of Electrical and Computer Engineering;01-01-2018;Real Time Systems*, Computer Architecture*, Network Computing, UbiquitousComputing, Senior Project 1, Communication Systems, Data Structures & Numeric Methods, Intro toElectronics*, Computer Programming 1, Engineering Math 1, Engineering Design 1 & 2, Thermo-fluidEngineering.* - Indicates the highest grade in the class and/or final exam
scott-bailey-software;2;;Dalhousie University, Faculty of Engineering;01-03-2017;Achieving a 3.85 or greater GPA (4.3 Scale) as an engineering student.
scott-bailey-software;3;;Canadian Interuniversity Sport (CIS);01-05-2016;Achieving an 80%% or better GPA, while enrolled as a full-time student and competing as a varsity athlete. (Dalhousie Varsity Volleyball)
scott-bailey-software;4;;Canadian Interuniversity Sport (CIS);01-05-2014;Achieving an 80%% or better GPA, while enrolled as a full-time student and competing as a varsity athlete. (Dalhousie Varsity Volleyball)
scott-bailey-software;5;;Dalhousie University, Faculty of Engineering;01-03-2014;Achieving a 3.85 GPA (4.3 Scale) as a full time engineering student.
fr%%C3%%A9d%%C3%%A9ric-fortier-chouinard-4bb62b162;1;00-09-00-09-00-00-00-09-00-09-2020;Universit\u00e9 Laval;01-04-2021;Lettre d'excellence remise par le vice-d\u00e9canat aux \u00e9tudes attribu\u00e9e aux \u00e9tudiants obtenant une moyenne d'au moins 95%% lors d'un stage.
fr%%C3%%A9d%%C3%%A9ric-fortier-chouinard-4bb62b162;2;03-00-00-00-09-00-09;F\u00e9d\u00e9ration canadienne \u00e9tudiante de g\u00e9nie;01-02-2021;"3e position dans la cat\u00e9gorie \""programmation\"" de la comp\u00e9tition."
fr%%C3%%A9d%%C3%%A9ric-fortier-chouinard-4bb62b162;3;00-09-00-09;CodinGame;01-01-2021;- Faire le reverse engineering d'un algorithme cryptographique.- Implanter et optimiser un algorithme de d\u00e9cryption en C++ bas\u00e9 sur la th\u00e9orie des nombres, l'alg\u00e8bre lin\u00e9aire et l'arithm\u00e9tique sur les grands entiers.- Surmonter un d\u00e9fi r\u00e9ussi par 2%% des programmeurs l'ayant essay\u00e9
fr%%C3%%A9d%%C3%%A9ric-fortier-chouinard-4bb62b162;4;00-09;Coveo;01-01-2020;\u00c9quipe gagnante de la comp\u00e9tition qu\u00e9b\u00e9coise de programmation d'intelligence artificielle Blitz Coveo.
fr%%C3%%A9d%%C3%%A9ric-fortier-chouinard-4bb62b162;5;00-09;Guinness World Records;01-10-2018;null
nada-al-towaity;1;;-;null;null
nada-al-towaity;2;03;-;null;null
nada-al-towaity;3;;-;null;null
nada-al-towaity;4;;-;null;null
briony-patrick-09293232;1;;Centennial College;01-06-2020;Honors
briony-patrick-09293232;2;;Centennial College;01-06-2020;High Honors
briony-patrick-09293232;3;;Success Academy of Practical Nursing;01-05-2008;null
briony-patrick-09293232;4;;Success Academy of Practical Nursing;01-05-2008;null
briony-patrick-09293232;5;;Success Academy of Practical Nursing;01-05-2008;null
jay-reid-79917540;1;;General Dynamics;01-03-2008;null
jay-reid-79917540;2;;Algonquin College;01-11-2005;Awarded to the graduate who demonstrated an outstanding commitment to the Security Management Program and exhibited exemplary behaviour, professionalism and leadership.
meghan-hogg;1;;Department of Indigenous Services Canada;01-01-2021;null
meghan-hogg;2;;Simon Fraser University, School of Public Policy;01-09-2019;null
meghan-hogg;3;;Ryerson University;01-07-2019;Faculty nominated award for excellence in disability studies research for undergraduate thesis: Medical Assistance in Dying(MAID): Disability as a Teacher and Policy Futures
meghan-hogg;4;;Ryerson Faculty Association;01-03-2019;Award recognizing academic excellence and a commitment to social justice and labour
meghan-hogg;5;;Ryerson University;01-07-2018;Recognizing academic achievement and a commitment to collective work through community organizing
meghan-hogg;6;;Ryerson University;01-07-2017;Recognizing academic achievement and a commitment to equity through social policy
nikki-tompkins-490924111;1;;Elizabeth Arden;01-03-2002;I received an acknowledgement letter from the CEO of Elizabeth Arden for bringing Counter sales up for the line by 50%%.  Very special moment for me in my sales experience and pushed me to work harder to keep up the continued success.
nikki-tompkins-490924111;2;;Clearwater Secondary School;01-06-1995;Top Senior Female Athlete for the 12th grade.
stewartrubin;1;;Embassy Suites hotels;01-11-2014;null
albert227;1;;-;null;2013 Winter, Ranked 3 out of 94 in Computer Engineering
cwasson;1;;Health Products and Food Branch;01-09-2020;null
cwasson;2;;Therapeutic Products Directorate;01-04-2020;This team of recipients contributed to the conditional approval of the first New Active Substance in Canada for a tissue agnostic oncology indication
cwasson;3;;Therapeutic Products Directorate;01-04-2020;Within the Australia-Canada-Switzerland-Singapore Consortium (ACSS), this team of recipients successfully established and sustained a collaboration with the TGA to review and approve 3 new active substances for the Canadian market.
cwasson;4;;University of Guelph;01-02-2016;null
cwasson;5;2016;University of Guelph;01-01-2016;null
cwasson;6;2014;University of Guelph;01-09-2014;null
cwasson;7;;-;01-09-2010;Entrance scholarship based on academic achievement
cwasson;8;;-;null;Honour certificate based on academic achievement
fr%%C3%%A9d%%C3%%A9ric-faucher-4bab8b74;1;00-09-00-09;-;01-12-2012;Le programme Odyss\u00e9e est un programme de bourse d'\u00e9tude dont le but de s'engager dans la communaut\u00e9 au moins 60 heures minimum par session. Au terme de sa participation au programme Odyss\u00e9e, l\u2019\u00e9tudiant recevra, sur demande, un certificat de reconnaissance qui atteste de la dur\u00e9e et de la qualit\u00e9 de son engagement ainsi qu\u2019une mention inscrite au bas du bulletin qui pr\u00e9cise le domaine d\u2019engagement et la session qui s\u2019y rattache.
fr%%C3%%A9d%%C3%%A9ric-faucher-4bab8b74;2;00-09-00-09;-;01-12-2011;Le programme Odyss\u00e9e est un programme de bourse d'\u00e9tude dont le but de s'engager dans la communaut\u00e9 au moins 60 heures minimum par session. Au terme de sa participation au programme Odyss\u00e9e, l\u2019\u00e9tudiant recevra, sur demande, un certificat de reconnaissance qui atteste de la dur\u00e9e et de la qualit\u00e9 de son engagement ainsi qu\u2019une mention inscrite au bas du bulletin qui pr\u00e9cise le domaine d\u2019engagement et la session qui s\u2019y rattache.
fr%%C3%%A9d%%C3%%A9ric-faucher-4bab8b74;3;00-09-00-09;Lieutenant-Gouverneur du Qu\u00e9bec;01-11-2011;null
fr%%C3%%A9d%%C3%%A9ric-faucher-4bab8b74;4;00-09;-;01-05-2010;null
fr%%C3%%A9d%%C3%%A9ric-faucher-4bab8b74;5;00-09;Lieutenant-Gouverneur;01-04-2010;null
ian-letourneau-actuaire;1;00-08;Universit\u00e9 de Montr\u00e9al;01-12-2005;null
melissa-pulvermacher;1;;The University of Guelph;01-08-2018;null
melissa-pulvermacher;2;30-30;Ontario Hostelry Institute (OHI);01-03-2017;null
melissa-pulvermacher;3;;Interhall Council - University of Guelph;01-02-2012;null
laura-rodrigues-901a8bb8;1;2019;Canadian Institutes of Health Research;01-01-2009;\u2022 Frederick Banting and Charles Best Canada Graduate Scholarship
laura-rodrigues-901a8bb8;2;;Ontario Ministry of Training, Colleges and Universities;01-01-2009;\u2022 Awarded to graduate students with high academic standing and strong research potential.
laura-rodrigues-901a8bb8;3;;University of Guelph;01-01-2008;\u2022 Applied Human Nutrition (AHN) graduate with the highest cumulative average.
laura-rodrigues-901a8bb8;4;;University of Guelph;01-01-2008;\u2022 B.A.Sc. graduate with the highest academic standing in the last 4 semesters.
nicole-ryk;1;;Faculty of Applied Science and Engineering;01-10-2019;Award granted based on academic achievement and a demonstration of strong leadership qualities.
rajiv-jain-220717a4;1;;MS society of Canada;01-07-2015;null
joseph-tito-15692315;1;;DCD Rights;01-11-2015;World-Wide Distribution
joseph-tito-15692315;2;;Shine International;01-04-2015;World-Wide Distribution
joseph-tito-15692315;3;;Giuseppe Dessi Literary Film Festival;01-01-2005;Windows wins Best Short Award
joseph-tito-15692315;4;;The Sydney Short Film Festival;01-01-2003;Immortal wins best short.
brittany-blais-b22673b3;1;;AIRS;01-10-2013;AIRS is...\u2026 a professional association of more than 5000 individuals and organizations, supporting 28 state and regional affiliates (chapters)\u2026 the international voice of Information and Referral (I&R)... the driving force behind the delivery of high quality I&R services... the sole source for standards, accreditations and certifications for the community information and referral sector\u2026 a leader in the development of the 2-1-1 movement that has transformed access for human services, in partnership with 211US and United Way Worldwide\u2026 a national leader in human services that participates in critical partnerships with the United Way Worldwide, the National Association of States United for Aging and Disabilities,       the National Association of Area Agencies on Aging, the National Emergency Number Association, the American Association of Suicidology and InformCanada... a non-profit organization as determined under section 501(c)(3) of the Internal Revenue Code.
brittany-blais-b22673b3;2;;Explore program;01-08-2008;null
susanna-khodarahmi-bron;1;05;Alberta Junior Forest Wardens Association;01-01-2019;5 Year Pins are awarded to leaders for their cumulative years of service.
